[05.11.2024, 00:57:42:166 CET] 00000037 org.jboss.weld.Event                                         I WELD-000411: Observer method [BackedAnnotatedMethod] org.apache.myfaces.config.annotation.CdiAnnotationProviderExtension.processAnnotatedType(@Observes ProcessAnnotatedType<T>) receives events for all annotated types. Consider restricting events using @WithAnnotations or a generic type with bounds.
[05.11.2024, 00:57:43:139 CET] 00000037 com.ibm.ws.session.WASSessionCore                            I SESN8501I: Mened¿er sesji nie znalaz³ po³o¿enia trwa³ej pamiêci masowej. Obiekty HttpSession bêd¹ zapisywane w pamiêci lokalnego serwera aplikacji.
[05.11.2024, 00:57:43:160 CET] 00000037 com.ibm.ws.webcontainer.osgi.webapp.WebGroup                 I SRVE0169I: £adowanie modu³u WWW: lab1-1.0-SNAPSHOT.
[05.11.2024, 00:57:43:167 CET] 00000037 com.ibm.ws.webcontainer                                      I SRVE0250I: Modu³ WWW lab1-1.0-SNAPSHOT zosta³ powi¹zany z hostem wirtualnym default_host.
[05.11.2024, 00:57:43:170 CET] 00000037 com.ibm.ws.http.internal.VirtualHostImpl                     A CWWKT0016I: Dostêpna aplikacja WWW (default_host): http://localhost:9080/perfumes/
[05.11.2024, 00:57:43:238 CET] 00000032 com.ibm.ws.webcontainer.osgi.mbeans.PluginGenerator          I SRVE9103I: Automatycznie wygenerowano plik konfiguracyjny wtyczki serwera WWW dla tego serwera w katalogu C:\Users\pauli\OneDrive\Pulpit\semestr 7\Jee\lab5\jee5\jee4-master\Jee4\target\liberty\wlp\usr\servers\defaultServer\logs\state\plugin-cfg.xml.
[05.11.2024, 00:57:43:239 CET] 00000036 com.ibm.ws.session.WASSessionCore                            I SESN0176I: W odniesieniu do klucza aplikacji default_host/perfumes zostanie utworzony nowy kontekst sesji.
[05.11.2024, 00:57:43:265 CET] 00000036 com.ibm.ws.util                                              I SESN0172I: Mened¿er sesji korzysta przy generowaniu identyfikatora sesji z domyœlnej implementacji klasy SecureRandom jêzyka Java.
[05.11.2024, 00:57:43:307 CET] 00000036 org.apache.myfaces.webapp.MyFacesContainerInitializer        I Using io.openliberty.faces40.internal.ee.WASMyFacesContainerInitializer
[05.11.2024, 00:57:43:677 CET] 00000036 org.apache.myfaces.config.DefaultFacesConfigurationProvider  I Found jakarta.faces.application.ApplicationFactory factory implementation: io.openliberty.faces40.internal.config.WASApplicationFactoryImpl
[05.11.2024, 00:57:44:026 CET] 00000036 org.apache.myfaces.util.ExternalSpecifications               I MyFaces Core CDI support enabled
[05.11.2024, 00:57:44:039 CET] 00000036 org.apache.myfaces.util.ExternalSpecifications               I MyFaces Core Bean Validation support disabled
[05.11.2024, 00:57:44:217 CET] 00000036 org.apache.myfaces.webapp.WebConfigParamsLogger              I Scanning for context init parameters not defined. It is not necessary to define them all into your web.xml, they are just provided here for informative purposes. To disable this messages set org.apache.myfaces.LOG_WEB_CONTEXT_PARAMS config param to 'false'
[05.11.2024, 00:57:44:217 CET] 00000036 org.apache.myfaces.webapp.WebConfigParamsLogger              I Init context parameter found 'jakarta.faces.PROJECT_STAGE' set to 'Development'
[05.11.2024, 00:57:44:217 CET] 00000036 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'jakarta.faces.RESOURCE_EXCLUDES' found, using default value '.class .jsp .jspx .properties .xhtml .groovy'.
[05.11.2024, 00:57:44:217 CET] 00000036 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'jakarta.faces.STATE_SAVING_METHOD' found, using default value 'server'.
[05.11.2024, 00:57:44:217 CET] 00000036 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'jakarta.faces.FULL_STATE_SAVING_VIEW_IDS' found.
